state_name,state_abbr,WB_TYPE,site_count
West Virginia,WV,Soft Drinks,9
West Virginia,WV,Winery,4
Wisconsin,WI,Bottled Water,145
Wisconsin,WI,Brewery,684
Wisconsin,WI,Distillery,97
Wisconsin,WI,Ice,17
Wisconsin,WI,Soft Drinks,33
Wisconsin,WI,Winery,20
Wyoming,WY,Bottled Water,31
Wyoming,WY,Brewery,52
Wyoming,WY,Distillery,8
Wyoming,WY,Ice,3
Wyoming,WY,Soft Drinks,2
